loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
5247608303,01/25/2021,0549,PPS,AIRGUARD RESTORATION CORP.,378 Hickory Hill Rd,Chagrin Falls,OH,44022-2812,02/19/2022,Paid in Full,60,100,56900,56900,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,N,Existing or more than 2 years old,Chagrin Falls,CUYAHOGA,OH,44022-2812,OH-11,7,562910,Unanswered,Unknown/NotStated,1,56898,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,57447.18,01/13/2022
5803127002,04/06/2020,0593,PPP,SANREED MANAGEMENT GROUP LLC.,1308 US Route 50,MILFORD,OH,45150-9782,04/14/2021,Paid in Full,24,100,56900,56900,0,,27569,Stock Yards Bank & Trust Company,1040 E Main St,LOUISVILLE,KY,40206-1856,U,N,N,New Business or 2 years or less,MILFORD,CLERMONT,OH,45150-9782,OH-02,12,332999,Unanswered,Unknown/NotStated,,56900,,,,,,Limited  Liability Company(LLC),27569,Stock Yards Bank & Trust Company,LOUISVILLE,KY,Unanswered,Unanswered,,57406.64,03/05/2021
5886417109,04/14/2020,0593,PPP,OHIO POVERTY LAW CENTER LLC,1108 City Park Ave Suite 200,COLUMBUS,OH,43206,09/25/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43206-0001,OH-15,4,624190,Unanswered,Unknown/NotStated,,56900,,,,,,Non-Profit Organization,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,Y,57629.57,08/12/2021
6259107105,04/14/2020,0593,PPP,MIDWEST SERVICE STATION MAINTANENCE LLC,1415 CHAMPIONS WAY,XENIA,OH,45385,08/17/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,XENIA,GREENE,OH,45385-0001,OH-10,7,443142,White,Not Hispanic or Latino,,56900,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,57568.77,07/09/2021
6557897008,04/07/2020,0549,PPP,BREMEC GARDEN CENTER OF CONCORD LLC,12265 CHILLIICOTHE RD,CHESTERLAND,OH,44026,04/20/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,R,N,N,Existing or more than 2 years old,CHESTERLAND,GEAUGA,OH,44026-0001,OH-14,7,444220,White,Not Hispanic or Latino,,56900,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,52445.45,03/12/2021
6625387109,04/14/2020,0593,PPP,"CASTLE TREATS, INC.",1222 S SHANNON ST,VAN WERT,OH,45891-2482,02/10/2021,Paid in Full,24,100,56900,56900,0,,57811,First Financial Bank,255 E Fifth St Ste 700,CINCINNATI,OH,45202-4700,R,N,N,Existing or more than 2 years old,VAN WERT,VAN WERT,OH,45891-2482,OH-05,19,722511,Unanswered,Not Hispanic or Latino,,56900,,,,,,Corporation,57811,First Financial Bank,CINCINNATI,OH,Male Owned,Veteran,,57294.4,01/07/2021
6757027010,04/07/2020,0593,PPP,C4S LLC,854 Reading Rd -Unit A,MASON,OH,45040-1308,08/17/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,MASON,WARREN,OH,45040-1308,OH-01,27,713940,White,Not Hispanic or Latino,,56900,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,57520.44,05/27/2021
6800718302,01/27/2021,0549,PPS,MK HOSPITALITY INC,6828 Commerce Dr,Hubbard,OH,44425-2944,12/21/2021,Paid in Full,60,100,56900,56900,0,Best Western - Membership Agreement,60275,First National Bank of Pennsylvania,166 Main St,GREENVILLE,PA,16125-2146,U,N,N,Existing or more than 2 years old,Hubbard,TRUMBULL,OH,44425-2944,OH-14,12,721110,Unanswered,Unknown/NotStated,1,56898,,,,,,Corporation,60275,First National Bank of Pennsylvania,GREENVILLE,PA,Unanswered,Unanswered,,57337.81,11/10/2021
6849467707,05/01/2020,0593,PPP,CODYS CANDY CO,8833 DAYTON RD,WEST CHESTER,OH,45069,09/14/2021,Paid in Full,24,100,56900,56900,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,WEST CHESTER,BUTLER,OH,45069-0001,OH-08,6,445292,Unanswered,Unknown/NotStated,,56900,,,,,,Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,43587.94,07/28/2021
6868847709,05/01/2020,0593,PPP,RIVER OAKS SERVICES LLC,11952 RIVEROAKS DR,LOVELAND,OH,45140-4816,07/13/2021,Paid in Full,24,100,56900,56900,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,LOVELAND,HAMILTON,OH,45140-4816,OH-01,12,541320,Unanswered,Unknown/NotStated,,56900,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57527.48,06/09/2021
7370267001,04/07/2020,0549,PPP,ALL FAMILY DENTIST,1118 North Ct,MEDINA,OH,44256,08/17/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,MEDINA,MEDINA,OH,44256-1101,OH-07,6,621210,Unanswered,Not Hispanic or Latino,,56900,,,,,,Sole Proprietorship,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,57571.89,06/29/2021
7715247710,05/01/2020,0593,PPP,"TRILLIUM VISION CARE, LLC",603 COUNTRY CLUB DR,NEWARK,OH,43055-2154,,Exemption 4,59,100,56900,56900,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,NEWARK,LICKING,OH,43055-2154,OH-12,8,446130,White,Not Hispanic or Latino,,56900,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Male Owned,Non-Veteran,,42421.38,09/16/2021
8006547000,04/08/2020,0549,PPP,SPEAR FUNERAL HOME INC,667 MENTOR AVE,PAINESVILLE,OH,44077-2531,08/17/2021,Paid in Full,24,100,56900,56900,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,Y,Existing or more than 2 years old,PAINESVILLE,LAKE,OH,44077-2531,OH-14,17,812210,White,Not Hispanic or Latino,,56900,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,57576.56,07/02/2021
