loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
5008877103,04/13/2020,0593,PPP,"BAYVIEW SUN & SNOW MARINA, LLC",5350BAYVIEW RD,CELINA,OH,45822-9172,02/24/2021,Paid in Full,24,100,59387,59387,0,,57912,The Park National Bank,50 N Third St,NEWARK,OH,43055-5523,R,N,N,Existing or more than 2 years old,CELINA,MERCER,OH,45822-9172,OH-05,3,713930,White,Not Hispanic or Latino,2824,56563,,,,,,Limited  Liability Company(LLC),57912,The Park National Bank,NEWARK,OH,Male Owned,Non-Veteran,,59806.78,01/07/2021
1744517710,05/01/2020,0593,PPP,"NOWSTALGIC TOYS, INC.",120 N TRINE ST,CANAL WINCHESTER,OH,43110,05/21/2021,Paid in Full,24,100,59377,59377,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,CANAL WINCHESTER,FRANKLIN,OH,43110-0001,OH-15,4,423920,White,Not Hispanic or Latino,9744,23751,,10000,,10382,5500,Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Male Owned,Non-Veteran,,59918.49,04/02/2021
4103397203,04/27/2020,0593,PPP,"MSM PRODUCTS, LLC",1074 MCKINNEY LN,CENTERVILLE,OH,45458,05/21/2021,Paid in Full,24,100,59377,59377,0,,58129,The Richwood Banking Company,24 E Blagrove St,RICHWOOD,OH,43344-1009,U,N,N,Existing or more than 2 years old,CENTERVILLE,MONTGOMERY,OH,45458-1100,OH-10,2,339112,Unanswered,Unknown/NotStated,,59377,,,,,,Limited  Liability Company(LLC),58129,The Richwood Banking Company,RICHWOOD,OH,Unanswered,Unanswered,,41960.52,01/20/2021
1066227107,04/09/2020,0593,PPP,GUNZELMAN ARCHITECTURE - INTERIORS LLC,333 Stewart Ave,COLUMBUS,OH,43206-2727,07/15/2021,Paid in Full,24,100,59375,59375,0,,57805,The Middlefield Banking Company,15985 E High St,MIDDLEFIELD,OH,44062,U,N,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43206-2727,OH-15,4,541310,Unanswered,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57805,The Middlefield Banking Company,MIDDLEFIELD,OH,Unanswered,Unanswered,,60040.33,06/03/2021
1143727806,05/01/2020,0593,PPP,TRUNG &#X26; HOA L.L.C,3419 PENDLETON CIRCLE,MIDDLETOWN,OH,45005,05/18/2022,Paid in Full,24,100,59375,59375,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,N,N,New Business or 2 years or less,MIDDLETOWN,WARREN,OH,45005-0001,OH-01,7,,Unanswered,Unknown/NotStated,,59375,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Unanswered,Unanswered,,60521.27,04/21/2022
7532807001,04/07/2020,0593,PPP,WP LAND COMPANY,9352 Main St,CINCINNATI,OH,45242-7614,11/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,CINCINNATI,HAMILTON,OH,45242-7614,OH-01,5,236115,White,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59947.6,04/15/2021
9561898806,04/23/2021,0549,PPP,DUTCH VALLEY HOMES INC.,222 Concord Ln,Hinckley,OH,44233-9662,08/23/2022,Paid in Full,60,100,59375,59375,0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,Hinckley,MEDINA,OH,44233-9662,OH-07,3,236115,Unanswered,Unknown/NotStated,,59375,,,,,,Corporation,122043,WebBank,SALT LAKE CITY,UT,Unanswered,Unanswered,,60097.26,07/15/2022
9727717705,05/01/2020,0549,PPP,FREDERICK SPENCER,873 BEECHWOOD DR,TALLMADGE,OH,44278,08/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,TALLMADGE,SUMMIT,OH,44278-0001,OH-13,18,,White,Not Hispanic or Latino,,59375,,,,,,Sole Proprietorship,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59343.29,06/16/2021
9808257700,05/01/2020,0593,PPP,FOUNDRY WAY TRANSPORTATION LLC,5100 River Valley Road,Milford,OH,45150,11/17/2021,Paid in Full,24,100,59375,59375,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,Milford,CLERMONT,OH,45150-0001,OH-02,4,423510,White,Not Hispanic or Latino,,59375,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,59856.51,02/26/2021
2505908408,02/03/2021,0593,PPS,AGRICULTURAL EXTENSION CAMPS INC,11461 Camp Ohio Rd,Saint Louisville,OH,43071-9613,03/10/2021,Paid in Full,60,100,59372,59372,0,,57464,The Community Bank,113 N Fifth St,ZANESVILLE,OH,43701-3533,R,N,N,Existing or more than 2 years old,Saint Louisville,LICKING,OH,43071-9613,OH-12,27,721214,Unanswered,Unknown/NotStated,1,59370,,,,,,Corporation,57464,The Community Bank,ZANESVILLE,OH,Unanswered,Unanswered,,60091.06,05/09/2022
1873198310,01/20/2021,0549,PPS,HEALING HANDS CLINIC INC.,5500 Ridge Rd Ste 218,Parma,OH,44129-2393,09/24/2021,Paid in Full,60,100,59370,59370,0,,81934,First Federal Savings & Loan Association of Lakewood,14806 Detroit Ave,LAKEWOOD,OH,44107-3910,U,N,N,Existing or more than 2 years old,Parma,CUYAHOGA,OH,44129-2393,OH-07,11,621399,Asian,Not Hispanic or Latino,1,59365,,,,,,Subchapter S Corporation,81934,First Federal Savings & Loan Association of Lakewood,LAKEWOOD,OH,Female Owned,Non-Veteran,,59661.9,08/06/2021
2756637103,04/11/2020,0593,PPP,"CAPSTONE 2 SNIPES AND PIPER, LLC",3701 N HIGH ST,COLUMBUS,OH,43214-3520,11/17/2021,Paid in Full,24,100,59370,59370,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43214-3520,OH-03,6,423450,White,Not Hispanic or Latino,59370,,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,59785.77,02/17/2021
8747867108,04/15/2020,0549,PPP,JEFFREYKNIGHT,3569 Fireside Drive,Brunskick,OH,44212,10/13/2021,Paid in Full,24,100,59370,59370,0,,60701,"Fulton Bank, National Association",One Penn Sq,LANCASTER,PA,17602-2853,U,N,N,Existing or more than 2 years old,Brunskick,MEDINA,OH,44212-0001,OH-07,1,813920,Unanswered,Unknown/NotStated,35622,23748,,,,,,Sole Proprietorship,60701,"Fulton Bank, National Association",LANCASTER,PA,Unanswered,Unanswered,,60189.64,09/07/2021
6941598307,01/27/2021,0549,PPS,KOELSCH ELECTRIC CO,4841 Monroe St Ste 311,Toledo,OH,43623-5320,11/17/2021,Paid in Full,60,100,59367,59367,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,Toledo,LUCAS,OH,43623-5320,OH-09,4,238210,White,Not Hispanic or Latino,,59365,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59772,10/06/2021
7663077105,04/14/2020,0593,PPP,"MR G'S II, INC.",1306 WOODLAWN AVE,CAMBRIDGE,OH,43725,01/22/2021,Paid in Full,24,100,59365,59365,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,R,Y,Y,Existing or more than 2 years old,CAMBRIDGE,GUERNSEY,OH,43725-0001,OH-12,14,445310,Unanswered,Unknown/NotStated,,59365,,,,,,Subchapter S Corporation,53803,"U.S. Bank, National Association",CINCINNATI,OH,Unanswered,Unanswered,,59767.36,12/17/2020
7251797004,04/07/2020,0593,PPP,WIESENMAYER LAW OFFICE,15 WILLIPIE ST,WAPAKONETA,OH,45895-1968,03/20/2021,Paid in Full,24,100,59363.25,59363.25,0,,103319,"Superior CU, Inc.",4230 Elida Rd,LIMA,OH,45807-1550,R,N,Y,Existing or more than 2 years old,WAPAKONETA,AUGLAIZE,OH,45895-1968,OH-04,5,541110,Unanswered,Unknown/NotStated,1515.89,52847.36,,5000,,,,Partnership,103319,"Superior CU, Inc.",LIMA,OH,Unanswered,Unanswered,,59686.45,10/29/2020
2756778509,02/22/2021,0549,PPS,STRUCTURAL COATINGS INC.,3140 Linden Pl,Canfield,OH,44406-8459,01/21/2022,Paid in Full,60,100,59357,59357,0,,60275,First National Bank of Pennsylvania,166 Main St,GREENVILLE,PA,16125-2146,U,N,N,Existing or more than 2 years old,Canfield,MAHONING,OH,44406-8459,OH-06,2,238320,Unanswered,Hispanic or Latino,,59357,,,,,,Subchapter S Corporation,60275,First National Bank of Pennsylvania,GREENVILLE,PA,Male Owned,Non-Veteran,,59823.61,12/09/2021
3326537102,04/11/2020,0549,PPP,"ACT 3, LLC",12200 Fairhill Road,CLEVELAND,OH,44120-1013,08/20/2021,Paid in Full,24,100,59357,59357,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,CLEVELAND,CUYAHOGA,OH,44120-1013,OH-11,4,541430,Unanswered,Unknown/NotStated,,59357,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,60116.44,08/03/2021
1575187400,05/04/2020,0593,PPP,"CIRCLE HOSPITALITY GROUP, LLC",18 W 13TH ST,CINCINNATI,OH,45202,07/20/2021,Paid in Full,24,100,59352,59352,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,Y,Y,Existing or more than 2 years old,CINCINNATI,HAMILTON,OH,45202-0001,OH-01,14,722513,White,Not Hispanic or Latino,,59352,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Male Owned,Non-Veteran,,59980.14,06/01/2021
7225998400,02/11/2021,0549,PPS,MUSE CONTENT GROUP LLC,1900 Superior Ave E Ste 331,Cleveland,OH,44114-2148,08/17/2021,Paid in Full,60,100,59352,59352,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,Y,Y,Existing or more than 2 years old,Cleveland,CUYAHOGA,OH,44114-2148,OH-11,4,541613,White,Not Hispanic or Latino,1,59350,,,,,,Corporation,53803,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,59597.65,07/16/2021
3961758409,02/05/2021,0593,PPS,SALYER GROUP HOME LLC,4420 State Route 247,Hillsboro,OH,45133-7368,09/21/2021,Paid in Full,60,100,59350.22,59350.22,0,,57641,The Merchants National Bank,100 N High St,HILLSBORO,OH,45133-1152,R,Y,N,Existing or more than 2 years old,Hillsboro,HIGHLAND,OH,45133-7368,OH-02,12,623312,Unanswered,Unknown/NotStated,1,59349.22,,,,,,Sole Proprietorship,57641,The Merchants National Bank,HILLSBORO,OH,Unanswered,Unanswered,,59673.35,08/25/2021
7606057005,04/07/2020,0593,PPP,SALYER GROUP HOME,4420 STATE ROUTE 247,HILLSBORO,OH,45133-7368,03/16/2021,Paid in Full,24,100,59350.22,59350.22,0,,57641,The Merchants National Bank,100 N High St,HILLSBORO,OH,45133-1152,R,Y,N,Existing or more than 2 years old,HILLSBORO,HIGHLAND,OH,45133-7368,OH-02,12,623110,Unanswered,Unknown/NotStated,,59350.22,,,,,,Sole Proprietorship,57641,The Merchants National Bank,HILLSBORO,OH,Unanswered,Unanswered,,59693.5,02/16/2021
1375797706,05/01/2020,0593,PPP,THE MERANDA LAW FIRM LTD,33 W MAIN ST STE 205,NEWARK,OH,43055,01/20/2021,Paid in Full,24,100,59350,59350,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,NEWARK,LICKING,OH,43055-0001,OH-12,5,541110,Unanswered,Unknown/NotStated,,55746,,3604,,,,Sole Proprietorship,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,59711.9,12/14/2020
4079008905,04/28/2021,0549,PPS,LOGISTIC CONCEPTS INC,1653 Merriman Rd Ste 101,Akron,OH,44313-5277,12/22/2021,Paid in Full,60,100,59350,59350,0,,60275,First National Bank of Pennsylvania,166 Main St,GREENVILLE,PA,16125-2146,U,N,N,Existing or more than 2 years old,Akron,SUMMIT,OH,44313-5277,OH-13,5,541614,White,Not Hispanic or Latino,,59348,,,,,,Subchapter S Corporation,60275,First National Bank of Pennsylvania,GREENVILLE,PA,Male Owned,Non-Veteran,,59650.05,11/10/2021
5911338402,02/09/2021,0549,PPP,BETTER BUSINESS BUREAU OF MAHONING VALLEY INC,7149 Barrington Dr 7149 Barrington Dr,Canfield,OH,44406-7636,12/09/2021,Paid in Full,60,100,59347,59347,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,Canfield,MAHONING,OH,44406-7636,OH-06,4,813910,Unanswered,Unknown/NotStated,,59346,,,,,,Professional Association,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,59775.62,10/29/2021
2271647707,05/01/2020,0549,PPP,"A. PATE, INC.",2607 Sunset Blvd,STEUBENVILLE,OH,43952,04/23/2021,Paid in Full,24,100,59342,59342,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,STEUBENVILLE,JEFFERSON,OH,43952-0100,OH-06,25,999990,Unanswered,Unknown/NotStated,2000,55342,,2000,,,,Subchapter S Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,59870.24,03/25/2021
4322217304,04/29/2020,0593,PPP,XPRESSIVE GRAPHIX LD,135 MUSKINGUM AVE,ZANESVILLE,OH,43701-4920,06/08/2021,Paid in Full,24,100,59341,59341,0,,57464,The Community Bank,113 N Fifth St,ZANESVILLE,OH,43701-3533,R,Y,Y,Existing or more than 2 years old,ZANESVILLE,MUSKINGUM,OH,43701-4920,OH-12,8,339950,White,Not Hispanic or Latino,,59341,,,,,,Partnership,57464,The Community Bank,ZANESVILLE,OH,Male Owned,Non-Veteran,,59960.78,05/20/2021
7669887102,04/14/2020,0593,PPP,"ROBERTS AVIATION, LLC",2808 BOBMEYER RD,HAMILTON,OH,45015,05/19/2021,Paid in Full,24,100,59337.5,59337.5,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,Y,Y,Existing or more than 2 years old,HAMILTON,BUTLER,OH,45015-0001,OH-08,4,811310,Unanswered,Unknown/NotStated,,59337.5,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Unanswered,Unanswered,,59892.96,04/01/2021
7257648405,02/11/2021,0593,PPS,BIG BROTHERS BIG SISTERS OF ZANESVILLE INC.,4 N 7th St,Zanesville,OH,43701-3749,07/09/2021,Paid in Full,60,100,59337.37,59337.37,0,,57448,North Valley Bank,2775 Maysville Pike,ZANESVILLE,OH,43701-9772,R,Y,N,Existing or more than 2 years old,Zanesville,MUSKINGUM,OH,43701-3749,OH-12,9,813410,Unanswered,Unknown/NotStated,,59337.37,,,,,,Non-Profit Organization,57448,North Valley Bank,ZANESVILLE,OH,Unanswered,Unanswered,Y,59519.45,06/15/2021
7354828500,03/05/2021,0549,PPS,JAMES MOCNY,271 E Garfield Rd,Aurora,OH,44202-7949,11/17/2021,Paid in Full,60,100,59335,59335,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,R,N,N,Existing or more than 2 years old,Aurora,PORTAGE,OH,44202-7949,OH-14,9,722511,White,Not Hispanic or Latino,1,59331,,,,,,Sole Proprietorship,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59710.52,10/26/2021
4225758503,02/25/2021,0593,PPS,DENNIS J. CUSTER D.D.S. LLC,564 S Trimble Rd Ste A,Mansfield,OH,44906-3418,08/17/2021,Paid in Full,60,100,59332,59332,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,R,N,N,Existing or more than 2 years old,Mansfield,RICHLAND,OH,44906-3418,OH-04,10,621210,White,Not Hispanic or Latino,1,59328,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59557.95,07/16/2021
9171477110,04/15/2020,0549,PPP,RITO'S INC.,1930 PEARL RD,BRUNSWICK,OH,44212,05/22/2021,Paid in Full,24,100,59330,59330,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,BRUNSWICK,MEDINA,OH,44212-0001,OH-07,16,445291,Unanswered,Unknown/NotStated,,59330,,,,,,Corporation,53803,"U.S. Bank, National Association",CINCINNATI,OH,Unanswered,Unanswered,,59903.52,04/01/2021
7077897210,04/28/2020,0549,PPP,AMC TRANSPORTATION LLC,8025 County Road 19,WAUSEON,OH,43567,08/17/2021,Paid in Full,24,100,59325,59325,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,R,N,N,Existing or more than 2 years old,WAUSEON,FULTON,OH,43567-0001,OH-09,8,484230,White,Not Hispanic or Latino,,59325,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59884.12,04/15/2021
6834848304,01/27/2021,0549,PPS,MAHANT 1957 LLC,35110 Maplegrove Rd,Willoughby,OH,44094-9692,03/19/2022,Paid in Full,60,100,59320.41,59320.41,0,,59954,CNB Bank,31 S Second St,CLEARFIELD,PA,16830,U,N,N,Existing or more than 2 years old,Willoughby,LAKE,OH,44094-9692,OH-14,13,721110,Asian,Not Hispanic or Latino,1,59318.41,,,,,,Limited  Liability Company(LLC),59954,CNB Bank,CLEARFIELD,PA,Male Owned,Non-Veteran,,59946.12,02/22/2022
3800477302,04/29/2020,0549,PPP,CASEY L KELLER LLC,15800 DETROIT AVE,LAKEWOOD,OH,44107,04/23/2021,Paid in Full,24,100,59320,59320,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,LAKEWOOD,CUYAHOGA,OH,44107-0011,OH-11,8,812112,White,Not Hispanic or Latino,,59320,,,,,,Limited  Liability Company(LLC),53803,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,59867.06,03/30/2021
5873238601,03/20/2021,0549,PPS,SHARON'S LITTLE LEAPERS,5145 BONETA RD SUITE 1 MEDINA OHIO 4425,MEDINA,OH,44256,05/18/2022,Paid in Full,60,100,59320,59320,0,,60275,First National Bank of Pennsylvania,166 Main St,GREENVILLE,PA,16125-2146,U,N,N,Existing or more than 2 years old,MEDINA,MEDINA,OH,44256,OH-07,13,624410,White,Unknown/NotStated,,59320,,,,,,Limited  Liability Company(LLC),60275,First National Bank of Pennsylvania,GREENVILLE,PA,Female Owned,Non-Veteran,,59921.44,04/07/2022
8694328602,03/25/2021,0549,PPS,OREES INC,1503 Broadway St,Toledo,OH,43609-2854,04/17/2021,Paid in Full,60,100,59316.04,59316.04,0,,103351,Directions CU,200 N St Clair,TOLEDO,OH,43604-1524,U,N,Y,Existing or more than 2 years old,Toledo,LUCAS,OH,43609-2854,OH-09,15,445110,Unanswered,Unknown/NotStated,1,59310.04,,,,,,Subchapter S Corporation,103351,Directions CU,TOLEDO,OH,Unanswered,Unanswered,,59964.45,05/05/2022
5185878405,02/08/2021,0549,PPS,THE SHORELINE GROUP LLC,178 E Main St,Norwalk,OH,44857-1836,03/24/2022,Paid in Full,24,100,59315,59315,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Existing or more than 2 years old,Norwalk,HURON,OH,44857-1836,OH-05,10,561730,Unanswered,Unknown/NotStated,1,59311,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,59893.52,02/10/2022
2640677701,05/01/2020,0593,PPP,DANTE COLOSIMO DDS INC,3100 TREMONT RD,COLUMBUS,OH,43221,05/22/2021,Paid in Full,24,100,59312,59312,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43221-0001,OH-03,4,621210,Unanswered,Unknown/NotStated,200,56092,,3020,,,,Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,59604.67,03/30/2021
5724187000,04/06/2020,0593,PPP,"MANNINO'S GRAND SLAM USA, INC.",6635 Dublin Center Dr.,DUBLIN,OH,43017-5077,08/20/2021,Paid in Full,24,100,59311,59311,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,DUBLIN,FRANKLIN,OH,43017-5077,OH-15,12,713940,Unanswered,Unknown/NotStated,2648,41000,,15663,,,,Subchapter S Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,60079.54,07/28/2021
6852277100,04/14/2020,0549,PPP,"LOZINAK & SONS, INC",8695 YORK RD,NORTH ROYALTON,OH,44133,08/19/2021,Paid in Full,24,100,59310,59310,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,N,N,Existing or more than 2 years old,NORTH ROYALTON,CUYAHOGA,OH,44133-0001,OH-07,7,238110,Unanswered,Unknown/NotStated,,59310,,,,,,Corporation,58036,Fifth Third Bank,CINCINNATI,OH,Unanswered,Unanswered,,60062.91,07/28/2021
7568238800,04/21/2021,0549,PPP,BEYOND EXPECTATIONS SUPPORTIVE SERVICES LLC,1725 Arlington Ave,Toledo,OH,43609-3069,06/25/2021,Paid in Full,60,100,59308,59308,0,,443558,Economic and Community Development Institute,1655 Old Leonard Avenue,Columbus,OH,43219,U,N,Y,Existing or more than 2 years old,Toledo,LUCAS,OH,43609-3069,OH-09,24,621610,Black or African American,Not Hispanic or Latino,1,59304,,,,,,Limited  Liability Company(LLC),443558,Economic and Community Development Institute,Columbus,OH,Male Owned,Non-Veteran,,59602.1,11/03/2021
1235807106,04/10/2020,0549,PPP,"THE RUSSELL FLOORING CO., INC",9420 Mercantile Drive,MENTOR,OH,44060-4526,05/21/2021,Paid in Full,24,100,59300,59300,0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,N,Unanswered,MENTOR,LAKE,OH,44060-4526,OH-14,7,238330,Unanswered,Unknown/NotStated,,59300,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,59880,04/13/2021
2421977207,04/16/2020,0549,PPP,"CONTEMPORARY CULINARY, LLC",797 E MARKET ST,AKRON,OH,44305-2450,04/20/2021,Paid in Full,24,100,76500,59300,0,,60009,First Commonwealth Bank,600 Philadelphia St,INDIANA,PA,15701-3904,U,Y,Y,Existing or more than 2 years old,AKRON,SUMMIT,OH,44305-2450,OH-13,28,722511,Unanswered,Not Hispanic or Latino,,59300,,,,,,Limited  Liability Company(LLC),60009,First Commonwealth Bank,INDIANA,PA,Male Owned,Non-Veteran,,59810.14,03/05/2021
2905477108,04/11/2020,0549,PPP,ST PAULS EPISCOPAL CHURCH OF MAUMEE OH,310 Elizabeth St,MAUMEE,OH,43537-3322,04/20/2021,Paid in Full,24,100,94000,59300,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,MAUMEE,LUCAS,OH,43537-3322,OH-09,21,813110,Unanswered,Unknown/NotStated,,59300,,,,,,Non-Profit Organization,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,Y,59821.52,03/05/2021
3111548300,01/21/2021,0549,PPS,LAFURIA DENTAL LLP,8501 E Market St,Warren,OH,44484-2379,12/09/2021,Paid in Full,60,100,59300,59300,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,Warren,TRUMBULL,OH,44484-2379,OH-14,5,621210,Unanswered,Unknown/NotStated,1,59298,,,,,,Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,59804.05,11/26/2021
3467147107,04/11/2020,0549,PPP,LARRY DINOPOULOS DDS,30 N MAIN ST,YOUNGSTOWN,OH,44514-1627,01/21/2021,Paid in Full,24,100,59300,59300,0,,60275,First National Bank of Pennsylvania,166 Main St,GREENVILLE,PA,16125-2146,U,N,N,Existing or more than 2 years old,YOUNGSTOWN,MAHONING,OH,44514-1627,OH-06,5,561499,White,Not Hispanic or Latino,,59300,,,,,,Sole Proprietorship,60275,First National Bank of Pennsylvania,GREENVILLE,PA,Male Owned,Non-Veteran,,59677.21,12/10/2020
3919197102,04/12/2020,0549,PPP,GRINDSTONE MECHANICAL LLC,9800 Detroit Ave,CLEVELAND,OH,44102-1722,04/20/2021,Paid in Full,24,100,59300,59300,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,Y,Y,New Business or 2 years or less,CLEVELAND,CUYAHOGA,OH,44102-1722,OH-11,10,238220,White,Not Hispanic or Latino,,59300,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,59831.26,03/18/2021
4211807105,04/13/2020,0549,PPP,J V S K W INC,274 CLEVELAND RD,NORWALK,OH,44857-9024,07/21/2021,Paid in Full,24,100,59300,59300,0,,58322,Civista Bank,100 E Water St,SANDUSKY,OH,44870-2524,R,Y,N,Existing or more than 2 years old,NORWALK,HURON,OH,44857-9024,OH-05,7,811111,Unanswered,Unknown/NotStated,800,47500,,,,11000,,Corporation,58322,Civista Bank,SANDUSKY,OH,Unanswered,Unanswered,,60000.07,06/15/2021
4590507010,04/03/2020,0593,PPP,"HAWKINS FAMILY DENTISTRY, LLC",609 Washington Bouleverd 400 Main Street,BELPRE,OH,45714-2464,03/13/2021,Paid in Full,24,100,59300,59300,0,,58117,The Farmers Bank and Savings Company,211 W Second St,POMEROY,OH,45769-1037,R,N,N,Existing or more than 2 years old,BELPRE,WASHINGTON,OH,45714-2464,OH-06,9,621210,White,Not Hispanic or Latino,3000,52700,3600,,,,,Subchapter S Corporation,58117,The Farmers Bank and Savings Company,POMEROY,OH,Female Owned,Non-Veteran,,59777.65,02/02/2021
